number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_test.rho2,user_attrs_test_acc,state,Rank,numLC,case,user_attrs_scaledentropy,rho
49,0.705017507,00:19.0,00:23.8,4,class-specific,0.007861141,128,64,NA,NA,2,0.200846828,1500,40,0.000386497,0.000104254,0.3582654,0.706305325,COMPLETE,5,3,3326,0.763313949,0.3582654
17,0.70501864,26:59.7,27:02.3,2,shared,0.013293127,256,128,NA,NA,2,0.326691741,600,20,0.000707099,0.00067356,0.358264387,0.69579649,COMPLETE,5,2,2192,0.112773106,0.358264387
29,0.705022752,08:34.2,08:37.2,2,class-specific,0.013624003,256,256,64,NA,3,0.06347196,300,20,0.001493857,0.000806677,0.358260632,0.692477882,COMPLETE,4,4,3169,0.095122725,0.358260632
22,0.705028832,04:30.8,04:38.3,7,class-specific,0.015259242,64,64,64,NA,3,0.342822311,1500,40,0.001983027,0.001816672,0.358255148,0.690818608,COMPLETE,4,2,2473,0.402887434,0.358255148
48,0.70502913,40:36.4,40:38.8,2,class-specific,0.032337873,64,64,NA,NA,2,0.078178693,900,10,0.000142564,0.000253799,0.35825485,0.689712405,COMPLETE,4,3,3546,0.663697124,0.35825485
33,0.705030441,39:53.0,39:57.2,4,shared,0.024602488,128,64,NA,NA,2,0.06678317,900,20,0.000364432,0.001069642,0.358253598,0.694137156,COMPLETE,4,2,2864,0.449205101,0.358253598
46,0.705030441,19:24.5,19:29.8,5,class-specific,0.017152966,128,64,NA,NA,2,0.169250909,1500,10,0.005722177,0.000415843,0.358253479,0.699115038,COMPLETE,3,2,1284,0.509242713,0.358253479
27,0.705032408,20:26.5,20:31.1,4,class-specific,0.015686011,256,256,64,64,4,0.134812025,1200,10,0.003312879,0.006106028,0.358252048,0.684734523,COMPLETE,1,2,3686,0.162058741,0.358252048
31,0.705034494,31:16.9,31:21.9,4,shared,0.006691371,64,64,NA,NA,2,0.375332512,300,40,0.000134489,0.003735373,0.358249962,0.710730076,COMPLETE,4,2,2674,0.243448436,0.358249962
16,0.705034733,17:54.9,17:59.3,4,class-specific,0.036709884,256,64,64,NA,3,0.285758864,600,1,0.004914056,0.005607065,0.358249784,0.691371679,COMPLETE,1,2,3504,0.100145906,0.358249784
16,0.705036223,54:07.8,54:27.6,19,class-specific,0.014015127,64,256,64,128,4,0.261752767,900,10,0.003316687,0.002137393,0.358248293,0.696349561,COMPLETE,2,2,295,0.498546451,0.358248293
37,0.705040395,17:22.9,17:25.3,2,class-specific,0.020339016,64,128,128,NA,3,0.115463483,600,20,0.006906224,0.00273265,0.358244598,0.698561966,COMPLETE,5,2,4035,0.795640111,0.358244598
8,0.705041826,40:52.4,40:54.6,2,shared,0.030155667,64,128,64,NA,3,0.071268372,600,40,0.000247566,0.000201358,0.358243287,0.688606203,COMPLETE,4,3,3473,0.468750417,0.358243287
33,0.705047071,47:46.7,48:01.5,14,shared,0.043032617,128,128,64,NA,3,0.001585705,900,1,0.009806928,0.0006451,0.358238518,0.69579649,COMPLETE,5,3,3367,2.61E-21,0.358238518
35,0.705048442,57:38.7,57:41.8,3,class-specific,0.021300775,256,64,256,NA,3,0.176731508,1200,40,0.00018195,0.005443637,0.358237326,0.685840726,COMPLETE,5,3,3786,0.442877263,0.358237326
49,0.705049336,56:22.1,56:26.3,4,class-specific,0.017294034,64,256,NA,NA,2,0.320781426,1200,40,0.000206769,0.0006372,0.358236372,0.675331831,COMPLETE,2,2,3942,0.298017263,0.358236372
25,0.705050647,47:09.1,47:12.2,3,class-specific,0.051398586,64,128,64,NA,3,0.234630264,600,1,0.00103319,0.003102056,0.35823524,0.684734523,COMPLETE,3,2,3771,0.766732812,0.35823524
31,0.705055892,22:28.2,22:32.3,4,class-specific,0.039239134,128,256,NA,NA,2,0.201573923,600,20,0.003213513,0.000326431,0.358230472,0.696349561,COMPLETE,1,2,2356,0.635292172,0.358230472
30,0.705060542,00:22.5,00:25.0,2,class-specific,0.01404724,256,128,128,NA,3,0.364359643,300,20,0.001831402,0.000129294,0.358226359,0.700221241,COMPLETE,3,2,2576,0.43966639,0.358226359
15,0.70506072,05:49.7,05:57.5,7,class-specific,0.009719179,64,64,NA,NA,2,0.001508606,1500,20,0.000592284,0.000483774,0.35822624,0.688606203,COMPLETE,2,3,1791,0.277529329,0.35822624
49,0.705062151,24:07.4,24:12.3,4,class-specific,0.04453853,128,64,NA,NA,2,0.115767746,900,10,0.001323008,0.000316347,0.358224809,0.688606203,COMPLETE,4,3,2717,0.132766604,0.358224809
19,0.70506382,44:06.4,44:10.5,4,class-specific,0.020429914,64,128,128,NA,3,0.233516812,1200,1,0.000144885,0.000152753,0.358223259,0.696902633,COMPLETE,3,3,3533,0.614448249,0.358223259
20,0.705063939,45:49.4,45:53.3,3,shared,0.010587378,256,256,NA,NA,2,0.166236995,1200,40,0.000602504,0.001973641,0.358223021,0.691924751,COMPLETE,4,2,3754,0.134488374,0.358223021
13,0.705065072,05:38.8,05:43.4,4,shared,0.020943559,64,64,NA,NA,2,0.003610463,1500,20,0.000578899,0.000607533,0.358222067,0.694690287,COMPLETE,3,3,1791,0.118335895,0.358222067
25,0.705067456,49:20.9,49:26.2,5,class-specific,0.014506426,64,128,64,128,4,0.29293186,1200,40,0.003853747,0.000509932,0.358219981,0.692477882,COMPLETE,5,2,1563,0.832679451,0.358219981
14,0.70506835,50:07.4,50:22.4,14,class-specific,0.019838431,128,64,256,NA,3,0.106902345,900,1,0.000538234,0.00427173,0.358219087,0.688606203,COMPLETE,5,2,3865,0,0.358219087
20,0.705072999,02:55.2,02:59.4,4,shared,0.014186908,128,256,NA,NA,2,0.109369484,300,40,0.009230095,0.000316823,0.358214855,0.690265477,COMPLETE,1,2,2929,0.277313858,0.358214855
24,0.705073237,22:11.1,22:14.1,3,class-specific,0.016721714,128,128,NA,NA,2,0.081875696,600,20,0.000275106,0.005226806,0.358214676,0.694137156,COMPLETE,5,3,2717,0.241619095,0.358214676
7,0.705076575,48:05.8,48:20.6,14,class-specific,0.003882195,256,256,NA,NA,2,0.33001808,1200,1,0.002597638,0.000796516,0.358211696,0.692477882,COMPLETE,3,4,3164,0.235950395,0.358211696
41,0.705085218,24:20.1,24:24.4,4,class-specific,0.0094363,128,128,64,NA,3,0.254326207,900,40,0.007409314,0.002722603,0.358203769,0.701327443,COMPLETE,3,2,2963,0.621205747,0.358203769
28,0.705086768,42:11.0,42:15.7,4,class-specific,0.00782717,64,128,NA,NA,2,0.182571,600,40,0.000486151,0.000238248,0.358202338,0.690265477,COMPLETE,1,4,4078,0.472312331,0.358202338
21,0.705087721,49:05.0,49:08.8,3,class-specific,0.068458947,64,128,128,NA,3,0.063556458,1500,10,0.000518842,0.000359063,0.358201504,0.689712405,COMPLETE,1,2,4047,0,0.358201504
42,0.705089629,45:16.5,45:21.8,5,class-specific,0.023040538,128,64,256,64,4,0.234357118,600,1,0.003026018,0.000166215,0.358199716,0.700221241,COMPLETE,2,2,1365,0.488333493,0.358199716
