number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_scaledentropy,user_attrs_test/rho2,user_attrs_test_acc,state
80,0.6673607230186462,2025-10-26 12:03:10.992065,2025-10-26 12:03:13.527889,2,class-specific,0.04709599736594418,128,64,,,2,0.13507083714390497,600,10,0.004648665299204251,0.008290025873427809,0.7296566963195801,0.39254212379455566,0.7063053250312805,COMPLETE
128,0.667647659778595,2025-10-26 12:06:55.166239,2025-10-26 12:07:01.526815,6,class-specific,0.006967194593363685,128,64,,,2,0.28068301492462416,900,10,0.002402928785355295,0.00040896193870357153,0.7005059123039246,0.3922808766365051,0.7007743120193481,COMPLETE
27,0.6686121821403503,2025-10-26 11:58:01.035375,2025-10-26 11:58:18.824672,17,shared,0.003072866665741035,128,64,,,2,0.22052663219567667,900,1,0.00036695244245693956,0.0013014671915711222,0.4405897557735443,0.3914030194282532,0.7129424810409546,COMPLETE
44,0.6710398197174072,2025-10-26 12:00:15.924620,2025-10-26 12:00:21.861182,5,class-specific,0.006462914159237622,256,128,64.0,,3,0.009352066637159026,1200,40,0.00030063705465378223,0.001177976480539974,0.48767104744911194,0.38919317722320557,0.7129424810409546,COMPLETE
41,0.6752956509590149,2025-10-26 11:59:49.254135,2025-10-26 11:59:59.468143,10,class-specific,0.006313878459997988,256,128,64.0,128.0,4,0.3353936119612426,1200,40,0.0002626562357625438,0.004488845621750434,0.7210089564323425,0.3853192925453186,0.7234513163566589,COMPLETE
150,0.6769277453422546,2025-10-26 12:08:53.906638,2025-10-26 12:08:57.529654,3,class-specific,0.014692693898619404,128,64,,,2,0.24253467024635125,300,10,0.0016127155976513221,0.0009061199413111534,0.5040980577468872,0.38383394479751587,0.7217920422554016,COMPLETE
2,0.6781713366508484,2025-10-26 11:56:13.248164,2025-10-26 11:56:17.521272,4,class-specific,0.01056790000152079,64,64,,,2,0.2465218697342286,600,40,0.0009040529906160623,0.006472255353447157,0.7862585186958313,0.3827018737792969,0.7068583965301514,COMPLETE
133,0.6787685751914978,2025-10-26 12:07:21.861133,2025-10-26 12:07:28.088032,6,class-specific,0.009658003739328052,256,256,,,2,0.2549851941611103,900,10,0.0022646882681862687,0.0007223413032946829,0.3912951946258545,0.38215821981430054,0.7079645991325378,COMPLETE
28,0.6801992058753967,2025-10-26 11:58:18.857182,2025-10-26 11:58:22.013105,3,class-specific,0.016962682866623658,128,256,256.0,,3,0.3035796201545423,900,20,0.00013734853023859798,0.0006523970615822441,0.7274984121322632,0.3808560371398926,0.69856196641922,COMPLETE
195,0.6835379600524902,2025-10-26 12:11:53.809119,2025-10-26 12:11:57.971758,4,class-specific,0.011568699001383133,256,64,,,2,0.25188067360033006,900,10,0.00137381008052969,0.0008495786817149419,0.6318504810333252,0.37781691551208496,0.6858407258987427,COMPLETE
55,0.6842253804206848,2025-10-26 12:01:18.058580,2025-10-26 12:01:21.912222,3,class-specific,0.017330363250831312,128,64,,,2,0.1459817516597035,900,10,0.005544241749610537,0.0007774298354587753,0.42058873176574707,0.37719130516052246,0.6875,COMPLETE
36,0.6862087845802307,2025-10-26 11:59:27.901397,2025-10-26 11:59:33.572200,5,class-specific,0.05635375307201182,128,64,,,2,0.27058164802899537,1500,40,0.00038559599033403415,0.002010610045554665,0.4756644666194916,0.37538576126098633,0.6902654767036438,COMPLETE
57,0.6876702904701233,2025-10-26 12:01:26.588550,2025-10-26 12:01:32.554794,5,class-specific,0.00921232072366648,128,64,,,2,0.17515076797000068,900,10,0.004437454712835094,0.0002259939657103455,0.34792134165763855,0.3740556836128235,0.6803097128868103,COMPLETE
97,0.6888290643692017,2025-10-26 12:04:42.610335,2025-10-26 12:04:47.439361,4,class-specific,0.011581947839808314,256,64,256.0,64.0,4,0.07194834129205847,900,10,0.002015395929290376,0.0001073530382501637,0.5414484739303589,0.3730008006095886,0.7184734344482422,COMPLETE
19,0.690298855304718,2025-10-26 11:57:20.239023,2025-10-26 11:57:27.638681,7,class-specific,0.00605095318428846,128,128,,,2,0.15300029413799227,300,1,0.00028114431786684075,0.00226583021249206,0.4001905918121338,0.37166279554367065,0.6952433586120605,COMPLETE
13,0.6920017004013062,2025-10-26 11:56:58.252658,2025-10-26 11:57:02.964060,4,class-specific,0.031182533668717698,64,64,,,2,0.23991214802157532,600,1,0.00033315520741531476,0.00043998222194083133,0.5970463156700134,0.3701128363609314,0.6803097128868103,COMPLETE
39,0.6945520639419556,2025-10-26 11:59:37.841227,2025-10-26 11:59:44.743976,6,class-specific,0.008152258026134835,256,64,128.0,,3,0.050759740951272586,900,1,0.0009962019682138552,0.0026751655984784796,0.5698500871658325,0.3677915334701538,0.6974557638168335,COMPLETE
140,0.6964914202690125,2025-10-26 12:07:59.220245,2025-10-26 12:08:10.027311,10,class-specific,0.0017989157146860854,256,64,,,2,0.08799440177063153,1500,10,0.002059105389242719,0.0010739223706628261,0.6210956573486328,0.36602628231048584,0.6886062026023865,COMPLETE
38,0.6968576908111572,2025-10-26 11:59:34.393234,2025-10-26 11:59:37.769738,3,class-specific,0.011664796360975754,64,64,64.0,,3,0.03223101918134351,300,20,0.00166017232033084,0.0013887035008740356,0.553532600402832,0.3656928539276123,0.6974557638168335,COMPLETE
1,0.697593629360199,2025-10-26 11:56:11.071276,2025-10-26 11:56:13.211929,2,class-specific,0.06889210102404032,128,64,64.0,,3,0.08201266371812405,600,1,0.0035130231073833996,0.00029448998171139804,0.6816216111183167,0.3650228977203369,0.6930309534072876,COMPLETE
9,0.7036492228507996,2025-10-26 11:56:41.713424,2025-10-26 11:56:45.720198,4,shared,0.01472721472846931,256,256,64.0,,3,0.18203770456966364,1200,10,0.00010071798172778433,0.0005396286262392326,0.3662356734275818,0.3595108985900879,0.6891592741012573,COMPLETE
8,0.705960750579834,2025-10-26 11:56:34.466244,2025-10-26 11:56:41.674547,7,shared,0.01378163775918113,256,64,128.0,,3,0.15002509548525678,900,40,0.002932565518703899,0.0009229420476507822,0.18394844233989716,0.35740673542022705,0.6908186078071594,COMPLETE
17,0.716339647769928,2025-10-26 11:57:13.319391,2025-10-26 11:57:16.444016,3,class-specific,0.022823580777862312,128,64,,,2,0.06776445255107937,300,1,0.00021668003101862833,0.002010836139336017,0.0039769429713487625,0.3479594588279724,0.6886062026023865,COMPLETE
48,0.7259694337844849,2025-10-26 12:00:50.349645,2025-10-26 12:00:53.688170,3,shared,0.03450540810944642,128,64,,,2,0.16053783671851324,900,10,0.00012163552941805826,0.0024614467677325632,0.12864790856838226,0.33919423818588257,0.6758849620819092,COMPLETE
139,0.7290238738059998,2025-10-26 12:07:52.853344,2025-10-26 12:07:59.177205,6,class-specific,0.008824695516466335,128,64,,,2,0.30156391170927305,900,10,0.0015975134596695022,0.0006276870678566912,0.5517986416816711,0.3364139199256897,0.7096238732337952,COMPLETE
138,0.7408626675605774,2025-10-26 12:07:45.595200,2025-10-26 12:07:52.818768,7,class-specific,0.005680705726360118,128,128,,,2,0.18138461021217264,900,40,0.0004674719453317445,0.00023568269057708683,0.044176701456308365,0.3256378173828125,0.6902654767036438,COMPLETE
31,0.745591402053833,2025-10-26 11:58:48.352807,2025-10-26 11:58:54.746594,6,class-specific,0.02441197924945495,128,64,,,2,0.193075815592276,900,1,0.00041520764919330454,0.001904841343183013,1.234617186263165e-09,0.3213334083557129,0.6769911646842957,COMPLETE
10,0.748694896697998,2025-10-26 11:56:45.747095,2025-10-26 11:56:54.218397,8,class-specific,0.04890278102038657,64,64,,,2,0.2649641964929282,600,40,0.00013881762462083944,0.007274596763869169,1.4727646860053827e-42,0.318508505821228,0.6758849620819092,COMPLETE
18,0.74961918592453,2025-10-26 11:57:16.470311,2025-10-26 11:57:20.211606,3,shared,0.05701835294807329,128,256,,,2,0.19922351249938935,300,1,0.00019139540810484654,0.0008382603559935249,0.0,0.3176671862602234,0.6780973672866821,COMPLETE
33,0.7500886917114258,2025-10-26 11:58:55.861969,2025-10-26 11:58:59.223463,3,class-specific,0.07192074803009357,128,64,,,2,0.08518146843040293,1200,1,0.0001541442064849867,0.0011398747303313329,0.0,0.31723982095718384,0.6814159154891968,COMPLETE
198,0.7509583830833435,2025-10-26 12:12:07.729586,2025-10-26 12:12:14.116341,6,class-specific,0.019955843395320368,256,256,,,2,0.2614416682536821,900,10,0.00020609953322335952,0.0006145902761205157,1.116743823066299e-14,0.31644827127456665,0.678650438785553,COMPLETE
34,0.7511664628982544,2025-10-26 11:58:59.246792,2025-10-26 11:59:21.409050,22,class-specific,0.03757534535426195,128,64,,,2,0.17350296770603546,900,1,0.0002648926456087268,0.0031581708007410135,0.0,0.3162587285041809,0.67643803358078,COMPLETE
22,0.7511683702468872,2025-10-26 11:57:34.731217,2025-10-26 11:57:39.742516,5,class-specific,0.04241942712766964,128,64,,,2,0.1045806827620141,300,1,0.0007727564105714555,0.000693780432195192,0.0,0.316257119178772,0.6792035102844238,COMPLETE
77,0.7569423913955688,2025-10-26 12:02:53.380486,2025-10-26 12:02:59.597486,6,class-specific,0.02882178343930544,64,64,,,2,0.20274082456638282,900,10,0.009342383086179303,0.0002508279516353478,1.0560491318756249e-05,0.3110013008117676,0.67643803358078,COMPLETE
20,0.7597547769546509,2025-10-26 11:57:27.654420,2025-10-26 11:57:33.867020,6,class-specific,0.02098878396735349,128,64,128.0,64.0,4,0.05887094979059973,300,20,0.00010677896998394402,0.003921610367840659,1.0782990558016542e-26,0.3084413409233093,0.6742256879806519,COMPLETE
166,0.7598471641540527,2025-10-26 12:09:45.002777,2025-10-26 12:09:51.416670,6,class-specific,0.007876233925450244,256,64,,,2,0.10887504269885366,900,10,0.0017375615073490006,0.0005370455775970654,0.6888521313667297,0.30835723876953125,0.7068583965301514,COMPLETE
45,0.760086715221405,2025-10-26 12:00:21.880466,2025-10-26 12:00:31.441002,9,class-specific,0.013577928301139177,256,128,,,2,0.12115879758183502,1200,40,0.00045315119625708057,0.007397799208788217,5.209302988973263e-10,0.3081393241882324,0.6736725568771362,COMPLETE
43,0.760615885257721,2025-10-26 12:00:07.246810,2025-10-26 12:00:15.895828,8,class-specific,0.012547778416088482,256,128,64.0,,3,0.36277057335464746,1200,40,0.00022406725480392155,0.0016793483717886374,5.531058229967748e-15,0.3076576590538025,0.6753318309783936,COMPLETE
75,0.7640029191970825,2025-10-26 12:02:46.527859,2025-10-26 12:02:52.611384,6,class-specific,0.015831124052222565,64,64,,,2,0.17168656222377104,900,10,0.004888641525482543,0.00032994295517575187,6.669612612874398e-21,0.30457454919815063,0.6736725568771362,COMPLETE
