number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_test/rho2,user_attrs_test_acc,state
58,0.734260082244873,2025-10-26 12:00:35.666492,2025-10-26 12:00:37.185843,1,class-specific,0.0775613439384718,128,128,256.0,,3,0.3083677007603519,1500,1,0.0013185575280896871,0.0009207229875870412,0.3316475749015808,0.6703540086746216,COMPLETE
132,0.7349210977554321,2025-10-26 12:07:44.870923,2025-10-26 12:07:58.282295,13,shared,0.015841019142158824,256,128,,,2,0.1746532862877776,1200,1,0.00032284385612743697,0.007089281613963093,0.33104604482650757,0.6863937973976135,COMPLETE
59,0.7350888252258301,2025-10-26 12:00:37.224921,2025-10-26 12:00:45.651457,8,class-specific,0.014629603196453808,64,128,256.0,,3,0.1481342192656684,300,1,0.003762543636348037,0.0031622012317252023,0.33089321851730347,0.6841813921928406,COMPLETE
176,0.7358277440071106,2025-10-26 12:12:32.632618,2025-10-26 12:12:35.623384,2,shared,0.040403795778803805,256,128,256.0,256.0,4,0.30474436484191386,1200,1,0.00031265121314100354,0.00498043551471055,0.33022063970565796,0.6742256879806519,COMPLETE
149,0.7361314296722412,2025-10-26 12:09:11.538722,2025-10-26 12:09:14.322319,2,class-specific,0.01803297349014656,256,128,,,2,0.12582930938103057,1200,20,0.0003685309861189892,0.006824465531079328,0.3299441933631897,0.6797566413879395,COMPLETE
82,0.7366244792938232,2025-10-26 12:03:28.875416,2025-10-26 12:03:30.645714,1,shared,0.052344513518833194,256,128,256.0,128.0,4,0.29951540515452557,1200,1,0.0007337758848720087,0.000391410952499686,0.32949554920196533,0.6792035102844238,COMPLETE
180,0.7366495132446289,2025-10-26 12:12:49.979069,2025-10-26 12:12:55.478856,5,shared,0.032307637689395305,256,128,,,2,0.21056842813664192,1200,1,0.0004954970227023311,0.00020544431153176717,0.32947278022766113,0.6847345232963562,COMPLETE
157,0.7370163798332214,2025-10-26 12:10:25.439115,2025-10-26 12:10:27.328368,1,shared,0.03076929002109291,256,128,,,2,0.1846465069359234,600,10,0.00031066378759809013,0.004095134433573607,0.3291386365890503,0.6819690465927124,COMPLETE
37,0.7374369502067566,2025-10-26 11:58:21.450237,2025-10-26 11:58:24.854551,3,class-specific,0.009280735507926565,256,128,256.0,64.0,4,0.1356208386901564,300,40,0.0009062573455333816,0.001037148145048926,0.3287559747695923,0.6769911646842957,COMPLETE
163,0.7390825152397156,2025-10-26 12:10:58.367199,2025-10-26 12:11:04.944727,6,class-specific,0.03705988484066619,256,128,,,2,0.17308834389437966,600,1,0.00034265216391336475,0.005028792856216104,0.3272579312324524,0.6891592741012573,COMPLETE
16,0.7396694421768188,2025-10-26 11:56:17.923757,2025-10-26 11:56:22.001265,4,class-specific,0.027156925266124596,64,64,64.0,,3,0.3219362605587806,300,1,0.002570147625205816,0.0002618050715045233,0.32672375440597534,0.6836283206939697,COMPLETE
28,0.7419803142547607,2025-10-26 11:57:15.234854,2025-10-26 11:57:23.348123,8,class-specific,0.009626062582603782,256,64,256.0,,3,0.06783691702448946,300,1,0.0006822510174719975,0.0012255095359391666,0.32462042570114136,0.6714601516723633,COMPLETE
